Country,Trust,GDP,Education,Unemployment
Andorra,30.130722427368163,1.9702068243789286,12.0290400981903,2.7125
Argentina,18.204706954956055,0.6766437558181249,18.081460135323656,8.6875
Armenia,10.87076168060303,4.362499999981608,13.977806727091467,17.287499999999998
Australia,37.22496223449707,2.3009935407951794,21.69695009504047,5.39075
Brazil,4.805489921569824,0.25102165948274013,15.417804445539186,11.7125
Cabo Verde,8.357502460479736,2.8118471201088138,12.148167610168475,10.725
Canada,45.684374237060545,1.8093853884977076,15.951102937970843,6.802
Chile,14.93506669998169,2.1515641114548902,16.539878300258085,7.761
Colombia,16.913874340057372,2.887173220897754,14.590004376002714,11.366624999999999
Costa Rica,9.860701656341552,3.1576773887390726,15.128070259094262,12.266875
Cyprus,15.999842548370362,5.54265723310324,15.650367055620473,9.518749999999999
Czechia,32.70927085876465,2.585073227038,16.447518757411412,2.925375
Dominican Republic,14.452108573913574,5.1192741841485745,14.31452388763428,6.280749999999999
Ecuador,12.705018711090087,1.5821319739569033,14.79716992378235,4.352
El Salvador,13.118643474578857,2.375359112860723,11.9035949707031,6.4925
Greece,6.970984077453612,1.316891620990905,19.316194852193203,18.756249999999998
"Hong Kong SAR, China",51.3751220703125,0.7199600911061932,17.180299997329726,3.856875
Indonesia,32.15982894897461,4.014665953746135,13.6899950504303,5.89125
"Iran, Islamic Rep.",15.51814308166504,2.1541471530511487,14.49963998794555,10.75625
Japan,33.599242210388184,0.4626019078570583,15.412403265635183,2.786375
Kazakhstan,23.130382156372075,2.4999999996184172,14.378396670023617,4.895125
"Korea, Rep.",26.191557693481446,2.7069024898302985,16.44737134660993,3.63325
Kyrgyz Republic,15.324545097351074,3.579461204163201,12.624811444963727,7.773000000000001
"Macao SAR, China",45.2816276550293,-7.441941351104445,14.7669825553894,2.3
Malaysia,7.406758213043213,3.9375688521015797,13.1665586744036,3.703125
Mauritius,18.029340553283692,1.9924202255336532,14.78194173177085,7.625374999999999
Mexico,19.32337770462036,1.1662678447879617,14.708572796412884,3.7846249999999997
Mongolia,14.102025270462034,3.1206685950171345,14.5102195739746,8.2375
Morocco,41.02894554138184,2.333688326690501,13.827464898427332,10.5
Netherlands,58.77481689453125,2.4126726247749755,18.356880187988267,5.337
New Zealand,60.081722259521484,3.04510138335718,18.8669330051967,4.43125
Pakistan,23.380464172363283,4.236456376534976,7.154947948455811,6.17175
Panama,14.12540111541748,4.0360815193965625,12.912444591522199,8.542875
Peru,11.501629638671876,2.6465916478018467,14.6409749984741,8.112625
Philippines,9.103857040405273,4.583273318197115,12.779143333435066,6.4353750000000005
Puerto Rico,18.186838150024414,-1.0903402419544328,17.670930226643865,9.375
Romania,10.823018074035645,3.7180371283417295,14.402974401201515,6.14175
Russian Federation,23.530047607421874,0.8536296458400869,15.25472602844236,5.03125
Serbia,23.847017669677733,3.217050961758412,14.6246886253357,13.099625
Singapore,24.074280357360838,3.2514237421236754,16.748133341471366,2.28125
Slovak Republic,22.429955291748048,2.4940484659404376,14.639754295349116,7.629
South Africa,9.062527656555176,0.7136185591748205,14.236694199698286,29.040625000000002
Sudan,27.872802257537842,-0.6535305167076721,7.93233013153076,23.836875
Thailand,26.27027244567871,1.8958525555912846,15.98929500579835,1.2625
Tunisia,9.800034840901693,0.875992638977813,14.2960000038147,15.70825
Ukraine,29.827746963500978,-3.418743534883096,13.621932574680857,11.157
United Kingdom,44.5704231262207,1.727837130835029,17.308657010396317,4.5093749999999995
United States,36.3890941619873,2.397169218291578,16.608334950038387,4.89375
Uruguay,21.28464126586914,0.9834022203505146,16.422539710998542,8.525125
